"dataset","year","k_studies","n_total","n_moderators","p_parameters","k_per_p","domain","overfitting_risk","expected_optimism"
"bcg",1994,13,357347,3,4,3.25,"Medicine","Extreme",">40%"
"raudenbush1985",1985,19,2302,1,2,9.5,"Education","Extreme",">40%"
"linde2005",2005,26,3563,3,4,6.5,"Medicine","Severe","30-40%"
"konstantopoulos2011",2011,56,NA,2,11,5.09090909090909,"Education","Severe","20-30%"
"bangert-drowns2004",2004,48,5547,4,5,9.6,"Education","Severe","20-30%"
"bourassa1996",1996,20,NA,2,3,6.66666666666667,"Psychology","Severe","30-40%"
"bonett2010",2010,20,NA,3,4,5,"Psychology","Severe","30-40%"
"curtis1998",1998,57,NA,4,5,11.4,"Biology","Moderate","<20%"
"egger2001",2001,33,NA,3,4,8.25,"Medicine","Severe","20-30%"
"hackshaw1998",1998,37,NA,3,4,9.25,"Medicine","Severe","20-30%"
"hart1999",1999,18,NA,3,4,4.5,"Medicine","Extreme",">40%"
"michael2013",2013,92,NA,3,4,23,"Psychology","Low","<20%"
"molloy2014",2014,16,6194,3,4,4,"Psychology","Extreme",">40%"
"normand1999",1999,9,932,2,3,3,"Medicine","Extreme",">40%"
"pagliaro1992",1992,26,NA,2,3,8.66666666666667,"Medicine","Severe","30-40%"
"yusuf1985",1985,33,7498,3,4,8.25,"Medicine","Severe","20-30%"
